Latitude,Longitude,location,location_type,dateTime,Humidity_%,PM1.0_CF1_ug/m3,PM10.0_CF1_ug/m3,PM2.5_ATM_ug/m3,PM2.5_CF1_ug/m3,Pressure_hpa,RSSI_dbm,Temperature_F,UptimeMinutes,Longitude,Latitude
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-01,67.63583333333331,3.7887500000000003,10.355416666666665,7.963333333333332,7.963749999999998,,-63.534166666666664,60.241666666666674,51573.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-02,63.12,2.6816666666666666,8.897499999999999,6.495833333333334,6.495833333333334,,-62.885833333333345,61.7825,53013.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-03,57.266666666666644,6.749166666666665,14.482916666666668,12.055,12.057916666666669,,-61.633333333333326,61.916666666666664,54452.92250000001,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-04,57.27333333333332,2.5870833333333336,5.60208333333333,4.589583333333333,4.590416666666666,,-60.7175,62.31125,55893.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-05,54.215,1.1575,4.18875,2.9362500000000007,2.9362500000000007,,-61.069583333333334,60.03458333333333,57333.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-06,52.87375,1.569583333333333,3.5308333333333333,2.845416666666667,2.845416666666667,,-59.94416666666667,59.93374999999998,58773.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-07,51.08416666666667,6.789999999999998,11.055833333333332,10.037916666666668,10.083333333333334,,-59.79874999999999,58.87916666666666,60213.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-08,62.95291666666665,0.7729166666666668,3.0483333333333333,2.0516666666666667,2.0533333333333337,,-61.03708333333333,59.68083333333333,61653.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-09,59.362500000000004,2.3004166666666666,5.4125000000000005,3.8533333333333335,4.394583333333334,,-60.42541666666667,59.72833333333333,63093.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-10,57.97833333333333,5.5879166666666675,9.703750000000001,8.66166666666667,8.724166666666669,,-60.23583333333334,58.04208333333333,64533.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-11,58.86249999999999,1.3895833333333334,3.8574999999999995,3.0475000000000008,3.0475000000000008,,-62.76541666666666,59.88624999999999,65973.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-12,54.744166666666665,2.2883333333333327,7.785416666666666,5.609583333333333,5.609583333333333,,-61.31583333333335,57.163333333333334,67413.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-13,59.13875000000001,0.8700000000000001,3.369166666666666,2.26375,2.330833333333333,,-60.87083333333333,58.55041666666668,68853.14291666666,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-14,58.51958333333334,0.33625,2.1833333333333336,1.3150000000000002,1.3150000000000002,,-62.96041666666668,59.10916666666666,70293.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-15,55.74125,2.1445833333333337,5.754166666666667,4.463333333333334,4.477083333333334,,-62.53666666666666,56.03000000000002,28484.9375,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-16,62.97333333333332,0.4254166666666667,1.8449999999999995,1.2229166666666664,1.2229166666666664,,-62.06083333333334,54.17125000000001,1590.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-17,59.15,1.9879166666666668,3.6816666666666666,3.1520833333333336,3.1520833333333336,,-62.32916666666666,55.679999999999986,3030.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-18,49.97916666666666,4.367500000000001,6.910833333333334,6.427500000000001,6.427500000000001,,-61.937916666666666,57.75166666666667,4470.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-19,47.05375000000001,3.1466666666666665,4.9425,4.576666666666667,4.59,,-60.685,57.360833333333346,5910.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-20,55.01083333333333,14.877083333333333,28.205416666666665,25.582499999999996,25.786249999999995,,-62.67208333333334,57.271666666666654,7350.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-21,60.1675,0.8279166666666667,1.749583333333334,1.4241666666666664,1.4241666666666664,,-62.81541666666666,59.17625000000001,8790.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-22,64.18083333333333,4.7375,9.659583333333332,8.61125,8.611666666666666,,-63.55375,62.99875,10230.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-23,57.72333333333333,6.791249999999999,13.054583333333335,11.454166666666666,11.486666666666666,,-65.34833333333334,61.640833333333326,11670.0,-122.47571299999997,37.715384999999976
37.715385,-122.47571299999998,Summit800 ,outside ,2020-01-24,59.50416666666666,7.446249999999999,12.482916666666666,11.32541666666667,11.325833333333335,,-64.90041666666666,63.01250000000001,13110.0,-122.47571299999997,37.715384999999976
